Year,Belarus,Czechia,Germany,Lithuania,Poland,Russia,Slovakia,Ukraine
1990,0.5214641,0.5481477,0.750315,0.5218884,0.5513604,0.5139285,0.54316795,0.5217524
1991,0.52141404,0.54813164,0.750007,0.52188575,0.5513702,0.51388174,0.5431874,0.52168155
1992,0.52136785,0.54811156,0.74974173,0.5218929,0.55138046,0.51384306,0.5432015,0.52162576
1993,0.52133095,0.5480868,0.74956155,0.5219124,0.5513822,0.51385534,0.5432103,0.52158684
1994,0.52130306,0.5480578,0.7494532,0.5219418,0.551375,0.51390046,0.54321116,0.52155566
1995,0.52128,0.54802376,0.7494107,0.5219698,0.5513657,0.51395357,0.5432053,0.52154136
1996,0.5212608,0.54798776,0.74941826,0.5219823,0.55135626,0.51398164,0.5431936,0.521536
1997,0.5212368,0.5479533,0.7494491,0.5219765,0.55134225,0.5139812,0.5431766,0.5215291
1998,0.52121997,0.5479171,0.7494874,0.52196103,0.5513267,0.5139921,0.5431605,0.52152175
1999,0.52121127,0.5478809,0.74952275,0.52193815,0.5513092,0.5140139,0.54314476,0.521512
2000,0.52120125,0.5478421,0.7495678,0.5219108,0.55128634,0.5140496,0.5431237,0.5215153
2001,0.52119553,0.54779845,0.7497514,0.5218792,0.55125815,0.5140805,0.5430953,0.5215194
2002,0.52119213,0.5477548,0.7501332,0.5218408,0.5512276,0.514101,0.54306203,0.5215242
2003,0.52119684,0.547713,0.7505901,0.5217998,0.55119705,0.5141444,0.54302776,0.5215347
2004,0.52120095,0.5476734,0.75097585,0.52176094,0.5511684,0.5141915,0.54298854,0.52154255
2005,0.5212048,0.5476307,0.7511564,0.52173275,0.5511421,0.5142374,0.54294574,0.5215573
2006,0.52121115,0.54758173,0.7511804,0.521712,0.5511161,0.5142662,0.5429009,0.5215627
2007,0.52120125,0.547534,0.75120103,0.52169716,0.5510904,0.5142661,0.5428536,0.5215657
2008,0.52119315,0.5474897,0.7512228,0.52168334,0.5510637,0.51427823,0.542808,0.52157444
2009,0.52118677,0.5474497,0.7512634,0.52166003,0.5510328,0.5142891,0.5427626,0.5215634
2010,0.5211785,0.5474121,0.7513417,0.5216339,0.55099785,0.51429087,0.54271483,0.5215375
2011,0.5211749,0.54737437,0.7512708,0.52160174,0.55096006,0.51427937,0.5426656,0.5214986
2012,0.5211533,0.54733896,0.7508645,0.52156067,0.5509217,0.51424986,0.54261553,0.5214586
2013,0.5211224,0.54730624,0.750218,0.5215126,0.55088454,0.51423055,0.54256624,0.52142155
2014,0.52108866,0.54727674,0.7494602,0.52145857,0.55084735,0.5142143,0.542519,0.5213799
2015,0.52105135,0.54724824,0.74880296,0.52140284,0.5508126,0.51419336,0.5424747,0.52136177
2016,0.5210136,0.547219,0.74828607,0.52134776,0.5507802,0.51416504,0.54242957,0.5213581
2017,0.5209698,0.5471923,0.7477406,0.5212882,0.550749,0.5141259,0.5423847,0.5213512
2018,0.52092916,0.547169,0.74727356,0.5212202,0.55071974,0.51409256,0.5423434,0.5213445
2019,0.5208894,0.54714864,0.7469019,0.5211538,0.5506919,0.51406276,0.54230446,0.5213342
