,Year,Anxiety
4479,1999,3.125532
4478,1998,3.125226
4480,2000,3.1251338
4477,1997,3.1245387
4476,1996,3.123788
4481,2001,3.1236281
4475,1995,3.123217
4474,1994,3.122654
4473,1993,3.1215782
4482,2002,3.1212137
4472,1992,3.1198978
4489,2009,3.1188688
4490,2010,3.1186213
4483,2003,3.1185129
4488,2008,3.1178298
4471,1991,3.1177778
4491,2011,3.1162906
4487,2007,3.1162524
4484,2004,3.1161613
4470,1990,3.11552
4486,2006,3.1149752
4485,2005,3.1148078
4492,2012,3.1121585
4493,2013,3.1070929
4494,2014,3.1019056
4495,2015,3.0975196
4496,2016,3.0851579
4499,2019,3.082497
4498,2018,3.0749567
4497,2017,3.0739503
