,Year,Depressive
4480,2000,2.3073173
4479,1999,2.3070683
4478,1998,2.3044722
4477,1997,2.3001008
4476,1996,2.295819
4475,1995,2.2928047
4474,1994,2.2906184
4481,2001,2.2902215
4473,1993,2.2881339
4472,1992,2.2851567
4471,1991,2.282644
4470,1990,2.279973
4499,2019,2.2779574
4482,2002,2.2518246
4483,2003,2.205623
4498,2018,2.1671112
4484,2004,2.1651654
4485,2005,2.1439219
4486,2006,2.1378796
4487,2007,2.1332617
4488,2008,2.1296732
4489,2009,2.1269224
4490,2010,2.1246493
4491,2011,2.1224542
4492,2012,2.118935
4493,2013,2.1157718
4497,2017,2.1144452
4494,2014,2.11352
4495,2015,2.1118062
4496,2016,2.1114995
