,Year,Eating
4499,2019,0.18609495
4498,2018,0.18387282
4497,2017,0.18200578
4496,2016,0.18004344
4495,2015,0.17776369
4494,2014,0.17553602
4493,2013,0.1731666
4492,2012,0.17050603
4491,2011,0.16778192
4490,2010,0.16522764
4489,2009,0.16253358
4488,2008,0.15968096
4487,2007,0.15659137
4486,2006,0.15366651
4485,2005,0.15085414
4484,2004,0.14830156
4483,2003,0.14587799
4482,2002,0.14346926
4481,2001,0.14118288
4480,2000,0.13907082
4479,1999,0.13696864
4478,1998,0.13466376
4477,1997,0.13259983
4476,1996,0.13103867
4475,1995,0.13015993
4470,1990,0.13007233
4474,1994,0.12982336
4471,1991,0.1296061
4473,1993,0.12948725
4472,1992,0.129463
