,Year,Schizophrenia
4499,2019,0.2945265
4495,2015,0.29418284
4498,2018,0.29409933
4496,2016,0.29407313
4497,2017,0.2939007
4494,2014,0.29381895
4493,2013,0.29323727
4492,2012,0.2925741
4491,2011,0.291965
4490,2010,0.2915458
4489,2009,0.2912203
4488,2008,0.29083458
4487,2007,0.29043695
4486,2006,0.29007557
4485,2005,0.2897989
4484,2004,0.28952307
4483,2003,0.28916383
4482,2002,0.2887692
4481,2001,0.28838763
4480,2000,0.2880676
4479,1999,0.28768805
4478,1998,0.2871698
4477,1997,0.28662294
4476,1996,0.28615814
4475,1995,0.2858863
4474,1994,0.28571063
4473,1993,0.28548315
4472,1992,0.28523713
4471,1991,0.2850058
4470,1990,0.28482124
