Year,Occurences,Disorder
4499,2019,0.2945265,Schizophrenia
4495,2015,0.29418284,Schizophrenia
4498,2018,0.29409933,Schizophrenia
4496,2016,0.29407313,Schizophrenia
4497,2017,0.2939007,Schizophrenia
4494,2014,0.29381895,Schizophrenia
4493,2013,0.29323727,Schizophrenia
4492,2012,0.2925741,Schizophrenia
4491,2011,0.291965,Schizophrenia
4490,2010,0.2915458,Schizophrenia
4489,2009,0.2912203,Schizophrenia
4488,2008,0.29083458,Schizophrenia
4487,2007,0.29043695,Schizophrenia
4486,2006,0.29007557,Schizophrenia
4485,2005,0.2897989,Schizophrenia
4484,2004,0.28952307,Schizophrenia
4483,2003,0.28916383,Schizophrenia
4482,2002,0.2887692,Schizophrenia
4481,2001,0.28838763,Schizophrenia
4480,2000,0.2880676,Schizophrenia
4479,1999,0.28768805,Schizophrenia
4478,1998,0.2871698,Schizophrenia
4477,1997,0.28662294,Schizophrenia
4476,1996,0.28615814,Schizophrenia
4475,1995,0.2858863,Schizophrenia
4474,1994,0.28571063,Schizophrenia
4473,1993,0.28548315,Schizophrenia
4472,1992,0.28523713,Schizophrenia
4471,1991,0.2850058,Schizophrenia
4470,1990,0.28482124,Schizophrenia
4480,2000,2.3073173,Depressive
4479,1999,2.3070683,Depressive
4478,1998,2.3044722,Depressive
4477,1997,2.3001008,Depressive
4476,1996,2.295819,Depressive
4475,1995,2.2928047,Depressive
4474,1994,2.2906184,Depressive
4481,2001,2.2902215,Depressive
4473,1993,2.2881339,Depressive
4472,1992,2.2851567,Depressive
4471,1991,2.282644,Depressive
4470,1990,2.279973,Depressive
4499,2019,2.2779574,Depressive
4482,2002,2.2518246,Depressive
4483,2003,2.205623,Depressive
4498,2018,2.1671112,Depressive
4484,2004,2.1651654,Depressive
4485,2005,2.1439219,Depressive
4486,2006,2.1378796,Depressive
4487,2007,2.1332617,Depressive
4488,2008,2.1296732,Depressive
4489,2009,2.1269224,Depressive
4490,2010,2.1246493,Depressive
4491,2011,2.1224542,Depressive
4492,2012,2.118935,Depressive
4493,2013,2.1157718,Depressive
4497,2017,2.1144452,Depressive
4494,2014,2.11352,Depressive
4495,2015,2.1118062,Depressive
4496,2016,2.1114995,Depressive
4479,1999,3.125532,Anxiety
4478,1998,3.125226,Anxiety
4480,2000,3.1251338,Anxiety
4477,1997,3.1245387,Anxiety
4476,1996,3.123788,Anxiety
4481,2001,3.1236281,Anxiety
4475,1995,3.123217,Anxiety
4474,1994,3.122654,Anxiety
4473,1993,3.1215782,Anxiety
4482,2002,3.1212137,Anxiety
4472,1992,3.1198978,Anxiety
4489,2009,3.1188688,Anxiety
4490,2010,3.1186213,Anxiety
4483,2003,3.1185129,Anxiety
4488,2008,3.1178298,Anxiety
4471,1991,3.1177778,Anxiety
4491,2011,3.1162906,Anxiety
4487,2007,3.1162524,Anxiety
4484,2004,3.1161613,Anxiety
4470,1990,3.11552,Anxiety
4486,2006,3.1149752,Anxiety
4485,2005,3.1148078,Anxiety
4492,2012,3.1121585,Anxiety
4493,2013,3.1070929,Anxiety
4494,2014,3.1019056,Anxiety
4495,2015,3.0975196,Anxiety
4496,2016,3.0851579,Anxiety
4499,2019,3.082497,Anxiety
4498,2018,3.0749567,Anxiety
4497,2017,3.0739503,Anxiety
4473,1993,0.5513822,Bipolar
4472,1992,0.55138046,Bipolar
4474,1994,0.551375,Bipolar
4471,1991,0.5513702,Bipolar
4475,1995,0.5513657,Bipolar
4470,1990,0.5513604,Bipolar
4476,1996,0.55135626,Bipolar
4477,1997,0.55134225,Bipolar
4478,1998,0.5513267,Bipolar
4479,1999,0.5513092,Bipolar
4480,2000,0.55128634,Bipolar
4481,2001,0.55125815,Bipolar
4482,2002,0.5512276,Bipolar
4483,2003,0.55119705,Bipolar
4484,2004,0.5511684,Bipolar
4485,2005,0.5511421,Bipolar
4486,2006,0.5511161,Bipolar
4487,2007,0.5510904,Bipolar
4488,2008,0.5510637,Bipolar
4489,2009,0.5510328,Bipolar
4490,2010,0.55099785,Bipolar
4491,2011,0.55096006,Bipolar
4492,2012,0.5509217,Bipolar
4493,2013,0.55088454,Bipolar
4494,2014,0.55084735,Bipolar
4495,2015,0.5508126,Bipolar
4496,2016,0.5507802,Bipolar
4497,2017,0.550749,Bipolar
4498,2018,0.55071974,Bipolar
4499,2019,0.5506919,Bipolar
4499,2019,0.18609495,Eating
4498,2018,0.18387282,Eating
4497,2017,0.18200578,Eating
4496,2016,0.18004344,Eating
4495,2015,0.17776369,Eating
4494,2014,0.17553602,Eating
4493,2013,0.1731666,Eating
4492,2012,0.17050603,Eating
4491,2011,0.16778192,Eating
4490,2010,0.16522764,Eating
4489,2009,0.16253358,Eating
4488,2008,0.15968096,Eating
4487,2007,0.15659137,Eating
4486,2006,0.15366651,Eating
4485,2005,0.15085414,Eating
4484,2004,0.14830156,Eating
4483,2003,0.14587799,Eating
4482,2002,0.14346926,Eating
4481,2001,0.14118288,Eating
4480,2000,0.13907082,Eating
4479,1999,0.13696864,Eating
4478,1998,0.13466376,Eating
4477,1997,0.13259983,Eating
4476,1996,0.13103867,Eating
4475,1995,0.13015993,Eating
4470,1990,0.13007233,Eating
4474,1994,0.12982336,Eating
4471,1991,0.1296061,Eating
4473,1993,0.12948725,Eating
4472,1992,0.129463,Eating
