Entity,Year,Depressive
Uganda,2000,7.6458993
Uganda,2001,7.6397343
Uganda,2002,7.6215105
Uganda,1999,7.620522
Uganda,2003,7.597861
Uganda,2004,7.568762
Uganda,1998,7.558059
Uganda,2005,7.539022
Uganda,2006,7.481849
Uganda,1997,7.4734764
Uganda,1996,7.3832736
Uganda,2007,7.381523
Uganda,1995,7.3027267
Uganda,2008,7.259432
Uganda,1994,7.224016
Uganda,2009,7.135555
Uganda,1993,7.1276608
Uganda,2010,7.033014
Palestine,2003,7.029476
Palestine,2004,7.026218
Palestine,2002,7.025387
Palestine,2005,7.0236554
Uganda,1992,7.0207376
Palestine,2006,7.0185223
Palestine,2001,7.0180025
Palestine,2007,7.011625
Palestine,2000,7.006831
Palestine,2008,7.0020432
Palestine,2009,6.989198
Palestine,2010,6.971681
Uganda,2011,6.93185
Palestine,2011,6.93137
Palestine,1999,6.9227004
Uganda,1991,6.900349
Palestine,2012,6.856684
Uganda,2012,6.812852
Uganda,1990,6.77559
Palestine,2013,6.7573338
Palestine,1998,6.7369967
Uganda,2013,6.70259
Palestine,2014,6.6439223
Uganda,2014,6.6171036
Uganda,2017,6.593235
Uganda,2018,6.5915475
Uganda,2016,6.5862427
Uganda,2019,6.5845194
Uganda,2015,6.5792217
Greenland,1995,6.5329275
Palestine,2015,6.5264244
Greenland,1994,6.5250273
